timestamp,device_id,cpu_temp,ram_usage,disk_io_errors,vibration_level
2026-08-01 00:00:00,SRV-001,51.38,54.45,0,0.201
2026-08-01 00:00:00,SRV-004,40.88,39.09,0,0.2
2026-08-01 00:05:00,SRV-001,52.03,50.3,0,0.18
2026-08-01 00:05:00,SRV-004,46.27,32.1,0,0.178
2026-08-01 00:10:00,SRV-001,50.22,51.07,1,0.067
2026-08-01 00:10:00,SRV-004,45.93,32.82,0,0.217
2026-08-01 00:15:00,SRV-001,53.96,51.76,0,0.0
2026-08-01 00:15:00,SRV-004,38.78,35.25,0,0.367
2026-08-01 00:20:00,SRV-001,53.74,58.19,0,0.102
2026-08-01 00:20:00,SRV-004,44.89,32.09,0,0.232
2026-08-01 00:25:00,SRV-001,52.2,52.3,0,0.312
2026-08-01 00:25:00,SRV-004,43.11,34.56,0,0.223
2026-08-01 00:30:00,SRV-001,54.49,47.12,0,0.315
2026-08-01 00:30:00,SRV-004,43.63,30.85,0,0.299
2026-08-01 00:35:00,SRV-001,53.07,47.28,0,0.148
2026-08-01 00:35:00,SRV-004,43.54,33.87,0,0.191
2026-08-01 00:40:00,SRV-001,50.21,52.74,0,0.093
2026-08-01 00:40:00,SRV-004,44.33,31.09,0,0.261
2026-08-01 00:45:00,SRV-001,52.86,47.55,0,0.191
2026-08-01 00:45:00,SRV-004,41.92,37.08,0,0.355
2026-08-01 00:50:00,SRV-001,49.99,45.78,0,0.203
2026-08-01 00:50:00,SRV-004,40.48,35.97,0,0.304
2026-08-01 00:55:00,SRV-001,53.96,54.77,0,0.216
2026-08-01 00:55:00,SRV-004,41.82,32.04,0,0.279
2026-08-01 01:00:00,SRV-001,52.02,55.11,0,0.0
2026-08-01 01:00:00,SRV-004,41.68,31.73,0,0.276
2026-08-01 01:05:00,SRV-001,52.02,51.16,0,0.428
2026-08-01 01:05:00,SRV-004,42.98,33.97,0,0.217
2026-08-01 01:10:00,SRV-001,51.23,54.23,0,0.279
2026-08-01 01:10:00,SRV-004,42.93,34.69,0,0.165
2026-08-01 01:15:00,SRV-001,55.63,54.16,0,0.185
2026-08-01 01:15:00,SRV-004,42.13,37.91,0,0.303
2026-08-01 01:20:00,SRV-001,52.94,56.22,0,0.155
2026-08-01 01:20:00,SRV-004,41.85,31.43,0,0.252
2026-08-01 01:25:00,SRV-001,52.64,56.59,0,0.3
2026-08-01 01:25:00,SRV-004,44.03,38.49,0,0.304
2026-08-01 01:30:00,SRV-001,53.09,43.81,0,0.272
2026-08-01 01:30:00,SRV-004,41.26,34.23,0,0.368
2026-08-01 01:35:00,SRV-001,55.29,53.85,0,0.25
2026-08-01 01:35:00,SRV-004,44.17,34.11,0,0.355
2026-08-01 01:40:00,SRV-001,55.21,57.31,1,0.29
2026-08-01 01:40:00,SRV-004,42.88,31.87,0,0.257
2026-08-01 01:45:00,SRV-001,55.6,53.88,0,0.255
2026-08-01 01:45:00,SRV-004,42.07,34.63,0,0.272
2026-08-01 01:50:00,SRV-001,55.93,56.06,0,0.307
2026-08-01 01:50:00,SRV-004,41.36,31.91,0,0.187
2026-08-01 01:55:00,SRV-001,59.91,59.35,0,0.343
2026-08-01 01:55:00,SRV-004,45.19,35.78,0,0.21
2026-08-01 02:00:00,SRV-001,54.9,57.37,0,0.323
2026-08-01 02:00:00,SRV-004,40.38,39.28,0,0.227
2026-08-01 02:05:00,SRV-001,54.95,63.57,0,0.33
2026-08-01 02:05:00,SRV-004,43.86,42.35,0,0.284
2026-08-01 02:10:00,SRV-001,54.59,62.37,0,0.427
2026-08-01 02:10:00,SRV-004,42.95,35.81,0,0.236
2026-08-01 02:15:00,SRV-001,57.96,57.64,0,0.202
2026-08-01 02:15:00,SRV-004,42.75,36.73,0,0.27
2026-08-01 02:20:00,SRV-001,59.36,57.67,0,0.276
2026-08-01 02:20:00,SRV-004,41.11,36.71,0,0.236
2026-08-01 02:25:00,SRV-001,56.96,47.18,0,0.351
2026-08-01 02:25:00,SRV-004,41.94,41.25,0,0.205
2026-08-01 02:30:00,SRV-001,55.68,57.87,0,0.302
2026-08-01 02:30:00,SRV-004,46.88,36.08,0,0.299
2026-08-01 02:35:00,SRV-001,56.0,54.03,0,0.339
2026-08-01 02:35:00,SRV-004,44.91,33.43,0,0.277
